id,x_peak,y_peak,peak_value
579,7306,9048,1157.9474
580,7213,9049,1137.3369
581,2267,9050,2379.0952
582,6420,9050,1749.1931
583,7127,9050,1150.765
584,2279,9051,1767.9166
585,6263,9051,1105.7719
586,6374,9051,1131.7493
587,7037,9051,1140.6017
588,2405,9052,1187.497
589,4298,9052,3276.6816
590,6227,9052,1124.263
591,6937,9052,1144.3877
592,2555,9053,1172.7007
593,6051,9053,1135.6035
594,6840,9053,1147.8027
595,2714,9054,1162.1688
596,2724,9054,1213.7511
597,5869,9054,1131.9825
598,5879,9054,1127.8524
599,6736,9054,1156.4202
600,6750,9054,1210.5422
601,2903,9055,1169.5734
602,2914,9055,1171.3624
603,4387,9055,2203.103
604,5660,9055,1129.7643
605,5670,9055,1128.7256
606,6519,9055,1642.5714
607,6636,9055,1148.3969
608,3112,9056,1188.2852
609,5404,9056,1140.1605
610,5413,9056,1132.3463
611,6531,9056,1445.7574
612,3342,9057,1184.2566
613,3357,9057,1179.019
614,5038,9057,1113.246
615,5057,9057,1133.0321
616,5072,9057,1131.3855
617,5081,9057,1125.0139
618,5103,9057,1088.6307
619,3645,9058,1169.6198
620,3663,9058,1189.4889
621,3680,9058,1165.8624
622,3714,9058,1056.9648
623,4289,9058,1831.5065
624,4399,9058,1767.1597
625,4075,9059,1070.7817
626,4096,9059,1102.0028
627,4121,9059,1145.4044
628,4145,9059,1161.0762
629,4154,9059,1168.7045
630,4164,9059,1186.7957
631,4180,9059,1182.9998
632,4195,9059,1194.7222
633,4204,9059,1194.6155
634,4216,9059,1203.7957
635,4226,9059,1184.681
636,4237,9059,1177.1747
637,4246,9059,1168.5446
638,4263,9059,1155.4193
639,4271,9059,2112.24
